id,careerId,name,socname,educationalRequirementName,description,Values
ckwg.US.en.6.04,ckc.US.en-6.04-1,Court Reporter ,Court Reporter,High school + certificate,Creates word-for-word transcriptions at courtroom trials or administrative hearings.,accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.04,ckc.US.en-6.04-10,"Production, Planning, or Expediting Clerks","Production, Planning, or Expediting Clerks",High school diploma or equivalent,Coordinates the flow of work and materials from production to delivery to customers.,accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.04,ckc.US.en-6.04-11,"Shipping, Receiving, or Traffic Clerk ","Shipping, Receiving, or Traffic Clerk",High school diploma or equivalent,Prepares items for shipment; verifies and maintains records of incoming and outgoing shipments.,accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.04,ckc.US.en-6.04-12,Stock Clerk or Order Filler,Stock Clerk or Order Filler,None,Receives and stores products and merchandise in the storeroom used to fill the sales floor.,accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.04,ckc.US.en-6.04-13,"Weigher, Measurer or Checker ","Weigher, Measurer or Checker",High school diploma or equivalent,"Measures, weighs and checks materials and equipment to maintain quality and keep records.",accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.04,ckc.US.en-6.04-2,"Court, Municipal, or License Clerk ","Court, Municipal, or License Clerk",High school diploma or equivalent,"Organizes and maintains records for courts, city governments, or government agencies.",accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.04,ckc.US.en-6.04-3,File Clerk ,File Clerk,High school diploma or equivalent,"Sorts and files information in a specific order to keep accurate, accessible records.",accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.04,ckc.US.en-6.04-4,Human Resources Assistant,Human Resources Assistant,Associate’s degree,Processes and stores personal records for employees within a company.,accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.04,ckc.US.en-6.04-5,Medical Records and Health Information Technician ,Medical Records and Health Information Technician,High school + certificate,"Organizes, maintains and protects patients' medical records in hospitals and doctor's offices.",accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.04,ckc.US.en-6.04-6,Medical Transcriptionist ,Medical Transcriptionist,High school + certificate,Listens to recorded dictation from physicians and converts them into written words.,accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.04,ckc.US.en-6.04-7,Order Clerk,Order Clerk,High school diploma or equivalent,Receives and processes incoming shipping orders for materials and products.,accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.04,ckc.US.en-6.04-8,Pharmacy Technician ,Pharmacy Technician,High school diploma or equivalent,Helps pharmacists dispense prescription medication to patients or health professionals.,accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.04,ckc.US.en-6.04-9,Postal Service Mail Carrier,Postal Service Mail Carrier,High school diploma or equivalent,"Delivers mail to homes, offices and other businesses.",accuracy;conformity;efficiency;organization;planning
ckwg.US.en.3.03,ckc.US.en-3.03-1,Actor,Actor,High school + some college,Interprets a writer's script to entertain or inform an audience by portraying characters.,aesthetic experience and achievement;courage;creativity;imagination;open-mindedness;self-expression
ckwg.US.en.3.03,ckc.US.en-3.03-2,Choreographer,Choreographer,High school diploma or equivalent,Creates and instructs new dance routines for dancers; supervises rehearsals.,aesthetic experience and achievement;courage;creativity;imagination;open-mindedness;self-expression
ckwg.US.en.3.03,ckc.US.en-3.03-3,Dancer ,Dancer,None,"Expresses ideas, emotions and stories using various types of dance and body movement.",aesthetic experience and achievement;courage;creativity;imagination;open-mindedness;self-expression
ckwg.US.en.3.03,ckc.US.en-3.03-4,"Director  (TV/radio, movies, theater)","Director  (TV/radio, movies, theater)",Bachelor’s degree,Interprets a writer's script and coordinates others to create a performance that entertains and/or informs.,aesthetic experience and achievement;courage;creativity;imagination;open-mindedness;self-expression
ckwg.US.en.3.03,ckc.US.en-3.03-5,"Makeup Artist, Theatrical & Performance","Makeup Artist, Theatrical & Performance",High school + certificate,"Applies makeup to performers, enhancing their features and reflecting their role and character.",aesthetic experience and achievement;courage;creativity;imagination;open-mindedness;self-expression
ckwg.US.en.3.03,ckc.US.en-3.03-6,Model,Model,None,Poses for photographers and artists to help advertise a variety of products.,aesthetic experience and achievement;courage;creativity;imagination;open-mindedness;self-expression
ckwg.US.en.6.01,ckc.US.en-6.01-1,Bill and Account Collector ,Bill and Account Collector,High school diploma or equivalent,Receives payment on overdue bills; negotiates payment plans.,accuracy;business achievement;conformity;efficiency;financial success;organization;planning
ckwg.US.en.6.01,ckc.US.en-6.01-2,"Billing, Cost, or Rate Clerk ","Billing, Cost, or Rate Clerk",High school diploma or equivalent,Calculates costs and prepares customer billing statements.,accuracy;business achievement;conformity;efficiency;financial success;organization;planning
ckwg.US.en.6.01,ckc.US.en-6.01-3,"Bookkeeping, Accounting or Auditing Clerk ","Bookkeeping, Accounting or Auditing Clerk",High school + some college,Creates financial records for an organization and checks their accuracy.,accuracy;business achievement;conformity;efficiency;financial success;organization;planning
ckwg.US.en.6.01,ckc.US.en-6.01-4,Brokerage Clerk,Brokerage Clerk,High school diploma or equivalent,Prepares forms and completes tasks related to individuals' or companies' financial investments.,accuracy;business achievement;conformity;efficiency;financial success;organization;planning
ckwg.US.en.6.01,ckc.US.en-6.01-5,"Claims Adjuster, Examiner or Investigator ","Claims Adjuster, Examiner or Investigator",High school diploma or equivalent,Investigates and estimates damage on cars and buildings for insurance companies.,accuracy;business achievement;conformity;efficiency;financial success;organization;planning
ckwg.US.en.6.01,ckc.US.en-6.01-6,Cost Estimator,Cost Estimator,Bachelor’s degree,"Estimates the time, money and material involved to manufacture a product or build a structure.",accuracy;business achievement;conformity;efficiency;financial success;organization;planning
ckwg.US.en.6.01,ckc.US.en-6.01-7,Financial Analyst,Financial Analyst,Bachelor’s degree,Advises individuals and businesses how to make profitable investment decisions.,accuracy;business achievement;conformity;efficiency;financial success;organization;planning
ckwg.US.en.6.01,ckc.US.en-6.01-8,Insurance Underwriter ,Insurance Underwriter,Bachelor’s degree,Evaluates risk and decides how much insurance coverage to provide clients.,accuracy;business achievement;conformity;efficiency;financial success;organization;planning
ckwg.US.en.6.01,ckc.US.en-6.01-9,Payroll or Timekeeping Clerk ,Payroll or Timekeeping Clerk,High school diploma or equivalent,Collects and records employees' timesheets for paying wages.,accuracy;business achievement;conformity;efficiency;financial success;organization;planning
ckwg.US.en.5.07,ckc.US.en-5.07-1,Advertising and Promotions Manager,Advertising and Promotions Manager,Bachelor’s degree,"Plans and delivers presentations about generating interest in a product, like an advertising campaign.",achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.07,ckc.US.en-5.07-2,Advertising Sales Agent,Advertising Sales Agent,High school diploma or equivalent,Sells advertising space to people and companies in order to promote a product.,achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.07,ckc.US.en-5.07-3,Copy Writer,Copy Writer,Bachelor’s degree,Writes advertising text for people and companies that promotes a product.,achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.07,ckc.US.en-5.07-4,Marketing Manager ,Marketing Manager,Bachelor’s degree,"Estimates the demand for products, evaluates competitors, and sets product pricing strategy.",achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.07,ckc.US.en-5.07-5,Public Relations Manager ,Public Relations Manager,Bachelor’s degree,Plans campaigns to improve the public image of a business or organization.,achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.07,ckc.US.en-5.07-6,Public Relations Specialist,Public Relations Specialist,Bachelor’s degree,"Creates a favorable image for a business or organization through press releases, social media.",achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.5.07,ckc.US.en-5.07-7,Sales Manager ,Sales Manager,Bachelor’s degree,Develops programs and sets monetary goals for an organization's sales representatives.,achievement;ambition;business success;enthusiasm;influence;leadership
ckwg.US.en.4.05,ckc.US.en-4.05-1,Coach or Scout,Coach or Scout,Bachelor’s degree,Teaches athletes the skills they need to succeed in their sport.,helping others;improving others' lives
ckwg.US.en.4.05,ckc.US.en-4.05-2,Fitness Trainer or Aerobics Instructor,Fitness Trainer or Aerobics Instructor,High school diploma or equivalent,Instructs and motivates people in various exercise activities.,helping others;improving others' lives
ckwg.US.en.4.05,ckc.US.en-4.05-3,Recreation Worker,Recreation Worker,High school diploma or equivalent,"Leads activities for people or groups, like camps or adventure programs.",helping others;improving others' lives
ckwg.US.en.4.05,ckc.US.en-4.05-4,"Sports Official, Umpire, or Referee","Sports Official, Umpire, or Referee",High school diploma or equivalent,Supervises and manages an athletic event to ensure the proper standards of play.,helping others;improving others' lives
ckwg.US.en.6.03,ckc.US.en-6.03-1,Air Traffic Controller,Air Traffic Controller,Associate’s degree,Coordinates the movement of airplanes to avoid collisions.,accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.03,ckc.US.en-6.03-2,Customer Service Representative ,Customer Service Representative,High school diploma or equivalent,Provides information and assistance to customers about an organization's products or services.,accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.03,ckc.US.en-6.03-3,"Hotel, Motel, or Resort Desk Clerk ","Hotel, Motel, or Resort Desk Clerk",High school diploma or equivalent,Registers and assigns rooms to guests; helps ensure quality accommodations.,accuracy;conformity;efficiency;organization;planning
ckwg.US.en.6.03,ckc.US.en-6.03-4,Loan Interviewer or Clerk ,Loan Interviewer or Clerk,High school diploma or equivalent,Verifies customer information to ensure they qualify for a loan.,accuracy;conformity;efficiency;organization;planning
