id,name,description,cipName
ckwg.CA.en.2.08,Bachelor of Information Technology - Photonics and Laser Technology,The Bachelor of Information Technology (BIT) – Photonics and Laser Technology degree is a joint collaboration between Algonquin College and Carleton University; graduates of the program receive a Bachelor of Information Technology degree as well as a Ontario College Advanced Diploma accreditation.,Bachelor of Information Technology - Photonics and Laser Technology.
ckwg.CA.en.2.08,Energy Management,"This eight-month Ontario College Graduate Certificate program provides students with industry-specific knowledge to enter and promote their careers in energy management. Students will learn a broad range of energy solutions including measurement and verification, the design and implementation of energy projects, conservation, generation, and supply and risk management. Graduates of the Energy Management program will have knowledge and skills in the fundamentals of the energy sector including power generation, distribution and consumption.",Energy Management.
ckwg.CA.en.2.08,Green Architecture,"This one-year Ontario Graduate Certificate program is an attractive option for those who want to improve the current situation through advanced knowledge and application of sustainable design strategies. The field of Green Architecture is a natural result of global pressures on our environment and natural resources. Students enhance their knowledge of building design, technology and construction from previous education or experience.",Green Architecture.
ckwg.CA.en.1.12,Medical Device Reprocessing,"This one-year Ontario College Certificate program prepares students to apply principles of infection prevention and proper handling in the decontamination, inspection, assembly, sterilization and storage of reusable patient care equipment and instrumentation in healthcare settings.",Medical Device Reprocessing.
ckwg.CA.en.3.01,Creative Writing (part-time),"Are you an aspiring writer who enjoys sharing your stories and ideas with others? Enrol in this online College Certificate program and explore your writing potential in a practical, constructive and goal-oriented academic environment. Learn the basics of writing, the structure of language, concepts in aesthetic criticism and the key steps involved in the writing process. Emphasis is placed on developing an individual writing style as students produce works in various genres.",Creative Writing (part-time).
ckwg.CA.en.3.01,English for Academic Purposes - International,"This College Certificate program is intended for students interested in improving their English language skills in educational and workplace environments. Students are provided a strong foundation in academic oral and written communication for further postsecondary opportunities, as well as career enhancement. Graduates meet the language requirements for entry into most regular programs of study at the College.",English for Academic Purposes - International.
ckwg.CA.en.3.01,General Arts and Science - English for Academic Purposes,"This one-year Ontario College Certificate program is intended for speakers of English as a second language who wish to improve their academic language skills in Canadian educational and workplace environments. Students are provided a strong foundation in academic oral and written communication for further postsecondary opportunities, as well as career enhancement. Graduates meet the language requirements for entry into most regular programs of study at Algonquin.",General Arts and Science - English for Academic Purposes.
ckwg.CA.en.3.01,Professional Writing,"This two-year Ontario College Diploma program provides students with the broad base of skills and knowledge required to begin careers as professional writers. Students learn to research, write and edit for print and the Internet in a wide variety of formats. The courses are designed so that students gain an understanding of how professional writers change their voice depending on the context in which they are writing. Students also acquire the necessary skills to write independently and collaboratively in freelance and organizational settings.",Professional Writing.
ckwg.CA.en.3.01,Scriptwriting,"This one-year Ontario College Graduate Certificate program provides students with the knowledge, writing experience and hands-on skills necessary to become writers in the ever-expanding fields of film, television, theatre, video and digital media content.",Scriptwriting.
ckwg.CA.en.1.01,Horticultural Industries,"This two-year Ontario College Diploma program delivered in a compressed format over 16 months incorporates key aspects of the evolving horticultural industries including sustainable urban agriculture, green roof and living wall technology, nursery production and management and urban and rural landscape design, installation and maintenance. This program prepares students to challenge sections of or an entire Landscape Industry Certification Designation at the technician level as provided by the Landscape Ontario - Ottawa Chapter, depending on students` interests and competencies.",Horticultural Industries.
ckwg.CA.en.1.01,Urban Forestry - Aboriculture,Our 8-month certificate allows students to gain foundational knowledge and skills related to a range of tree care services,Urban Forestry - Aboriculture.
